i,j,gamma_true,times_found,detection_rate,mean_gamma_pred,gamma_error_when_found
16,71,0.1702000163511016,1,0.16666666666666666,0.0850032305472004,0.0851967858039012
14,25,0.1707126397247471,0,0.0,,
0,86,0.1716473591641957,0,0.0,,
76,77,0.172153914716425,0,0.0,,
22,41,0.1808841972563704,2,0.3333333333333333,0.13789454947148855,0.042989647784881846
41,71,0.1811961317212675,0,0.0,,
1,62,0.1823292107528748,5,0.8333333333333334,0.12206597749401538,0.06026323325885943
58,82,0.1835960110755271,5,0.8333333333333334,0.08900264389300547,0.09459336718252162
29,82,0.1876978775835463,2,0.3333333333333333,0.13879353759913235,0.04890433998441396
76,87,0.1879295427209806,0,0.0,,
20,52,0.1917873955565565,0,0.0,,
7,24,0.1936581303547287,0,0.0,,
40,71,0.1937028576894276,0,0.0,,
41,74,0.1950023019586046,2,0.3333333333333333,0.09282033261400655,0.10218196934459806
48,60,0.1981344396417556,5,0.8333333333333334,0.11478547999476443,0.08334895964699116
50,94,0.1983240397410768,1,0.16666666666666666,0.1171741702880735,0.08114986945300329
44,78,0.2007037869401224,4,0.6666666666666666,0.17687479815470147,0.023828988785420918
65,89,0.2012798186368394,0,0.0,,
14,90,0.2037292535937933,4,0.6666666666666666,0.21078199137475956,0.007052737780966267
18,76,0.2056423791389114,0,0.0,,
25,98,0.206551223778439,0,0.0,,
1,32,0.2068018278074458,0,0.0,,
55,84,0.2141902523652459,1,0.16666666666666666,0.066135180363178,0.14805507200206788
59,75,0.2158833207841684,0,0.0,,
40,76,0.2162996884263298,0,0.0,,
31,64,0.2191633049741331,1,0.16666666666666666,0.0517012604443113,0.1674620445298218
46,77,0.222942419896468,0,0.0,,
35,95,0.2376007481744164,0,0.0,,
42,48,0.2377542361954658,2,0.3333333333333333,0.09325656673062066,0.14449766946484513
1,19,0.2481164735083491,6,1.0,0.15583944500879526,0.09227702849955383
6,11,0.252209913337825,2,0.3333333333333333,0.10503505175249556,0.14717486158532944
2,56,0.2569875396502604,0,0.0,,
10,79,0.2679191837120975,6,1.0,0.17523816235801914,0.09268102135407835
27,77,0.2705247144614888,6,1.0,0.25803664048630265,0.012488073975186142
10,12,0.2908932068959716,6,1.0,0.21435965374821808,0.07653355314775351
1,31,0.2912508389809505,2,0.3333333333333333,0.0831150974501406,0.20813574153080988
46,57,0.3080161543882652,1,0.16666666666666666,0.094355063662814,0.2136610907254512
